# image-manifest.tsv — 容器镜像构建追溯表。列说明:
# sp-tag | input-hash | containerfile-sha | rpm-pin | macro | quay-base | image-digest | local? | remote? | built-date | size-MB
# 由 build-images.sh 自动维护。input-hash 变化触发重建。
sp-tag	input-hash	containerfile-sha	rpm-pin	macro	quay-base	image-digest	local	remote	built-date	size-MB
24.03-LTS	ae5d1d7c1357bb84f39a61c449a9cfdd339e820c9ca2de31c8f1334e7b47bbe4	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	b0b3c0f641ebef1b55aafbdd577cd67e2c4eb254	none	24.03-lts	sha256:9217a79c88d88e427a280d4a38998cb47fa7ee15abd4919553c3f6f2e8c579fc	yes	no	2026-09-02 06:26:27	1480
24.03-LTS-SP1	ac5c3ca55a451cc1d1026a731d08184b03ab7bf0aa497dd749f82329e8a5ddb8	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	b0b3c0f641ebef1b55aafbdd577cd67e2c4eb254	none	24.03-lts-sp1	sha256:f6057dde9a8c1e5e417cf2053aeed6aabffa237f163ffc411ad2be4e9517653d	yes	no	2026-09-02 10:24:13	1488
24.03-LTS-SP2	113c35552a402423636cfb2511bf2b946819e3a665834ba2e901faab937014fc	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	b0b3c0f641ebef1b55aafbdd577cd67e2c4eb254	none	24.03-lts-sp2	sha256:0f3f3319b536569242c09e39cf822a7ba64c17c8d70941383b72fd13f58804aa	yes	no	2026-09-02 10:33:32	1492
24.03-LTS-SP3	d2df8dbcd295c902c5f919def6894aac99918d004a97a4599d8cc580c75760fa	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	b0b3c0f641ebef1b55aafbdd577cd67e2c4eb254	none	24.03-lts-sp3	sha256:956c2044d48472d94e9509c0b18bb1af95846c83c9a4b660b3270405dd879131	yes	no	2026-09-02 10:42:53	1545
24.03-LTS-SP4	2fe771b1583dec1699724c36a9e6d2f3ddd76ab232dd046fb5e01ed7ac75f0b1	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	b0b3c0f641ebef1b55aafbdd577cd67e2c4eb254	none	24.03-lts-sp4	sha256:7ab13582d3c66d4bc7522a29c9e5cb381172689c4c86f6c11362af96c64894f3	yes	no	2026-09-02 10:52:45	1529
22.03-LTS	2c815cbb848ca529e75e835a6af7fe5fb5b980cf64333bade9c32dbe2eff410a	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	c6fc2f086459f7ee0771c4d6f97190743b278369	OPENEULER_22_03	22.03-lts	sha256:ed3f9a76269323c81882d7bd7e5c6222f2ce5fe504d0bb52f2ff780dc25ea5c7	yes	no	2026-09-02 07:28:29	1635
22.03-LTS-SP1	4b36f008aea110375e7824d9464eacde34d4bb43f1d8d7aa3773320c49b22bd3	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	c6fc2f086459f7ee0771c4d6f97190743b278369	OPENEULER_22_03	22.03-lts-sp1	sha256:e8d8af257487ea6058214e5e224e18c1ff99516ba723378096aa9c85260d095b	yes	no	2026-09-02 11:12:00	1561
22.03-LTS-SP2	a3e9ce70c0bac4ba3487b5e5c59b1086918ad93939c09f080949db9feaa68a72	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	c6fc2f086459f7ee0771c4d6f97190743b278369	OPENEULER_22_03	22.03-lts-sp2	sha256:568ca8d1919076587b9034442e67a26c10dc3040c9907e9467a1f5d081b03911	yes	no	2026-09-02 11:22:38	1547
22.03-LTS-SP3	0fbcb81d1a1539b6d9212743d819a6982d7ee01ec81ead9c713eefcf9a0f2ae4	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	c6fc2f086459f7ee0771c4d6f97190743b278369	OPENEULER_22_03	22.03-lts-sp3	sha256:6491cb377c4bbf84ecb70aedc727190704650595d7745d30278e884bfd4032a9	yes	no	2026-09-02 11:32:58	1363
22.03-LTS-SP4	16a33ae706641ebe963a9cefcaddff177b94b14e9a3160a3339ddae5e167bbde	beba18bd8e7bc0cebfc50988a9a992713b6601e0626a7f3dc3895f82a71fd27a	c6fc2f086459f7ee0771c4d6f97190743b278369	OPENEULER_22_03	22.03-lts-sp4	sha256:d9ffa47f6c9f6d03ecbff387b0c0d20b1dc67c333e601c0f3fb733f10acbcb07	yes	no	2026-09-02 11:43:38	1348
